Name,Link,Curl Focused?,Active Type,Bond Repair Research Grade
Pantene Miracle Rescue,https://amzn.to/4pc7Q8H,FALSE,Panthenol (Provitamin B5),D
Garnier Bond Repair Complex,https://amzn.to/44bNyE8,FALSE,"Hydrolyzed Proteins/peptides/amino acids, Citric Acid",C
Dove Bond Strength,https://amzn.to/4oCkNc2,FALSE,"Citric Acid, Lactic Acid, Hydrolyzed Proteins/peptides/amino acids, Gluconic Acid (Hydroxypropyl Gluconamide)",C
Dove Intensive Repair,https://amzn.to/4oDXeQ9,FALSE,"Citric Acid, Lactic Acid, Hydrolyzed Proteins/peptides/amino acids, Gluconic Acid (Hydroxypropyl Gluconamide)",C
Shea Moisture Bond Repair,https://amzn.to/4oRGCok,TRUE,"Citric Acid, Lactic Acid, Hydrolyzed Proteins/peptides/amino acids, Gluconic Acid (Hydroxypropyl Gluconamide)",C
CurlsSmith Bond Curl Rehab,https://amzn.to/4r3xPkv,TRUE,"Hydrolyzed Proteins/peptides/amino acids, Gluconic Acid (Hydroxypropyl Gluconamide)",C
As I Am Bond Repair,https://amzn.to/47Iw8RU,TRUE,Gluconic Acid (Hydroxypropyl Gluconamide),C
Bondbar,https://amzn.to/3WWlAIL,FALSE,Gluconic Acid (Hydroxypropyl Gluconamide),C
OGX Bond Protein Repair,https://amzn.to/4i5Fzyf,FALSE,Gluconic Acid (Hydroxypropyl Gluconamide),C
Not Your Mothers Bonding,https://amzn.to/3LL9GPp,FALSE,Lactic Acid,F
Pattern Repair360 Foam,https://www.ulta.com/p/repair360-leave-in-foam-pimprod2055126?sku=2643611,TRUE,"Gluconic Acid, Hydrolyzed Proteins/peptides/amino acids, Panthenol (Provitamin B5)",C
,,FALSE,,
,,FALSE,,
,,FALSE,,